keys,en,context
"普通",,"src/ui/item_gallery_screen.gd:15, src/ui/codex_screen.tscn:429, src/ui/item_gallery_screen.tscn:369"
"普通治疗药水",,"src/battle/item_catalog.gd:64"
"普通法力药水",,"src/battle/item_catalog.gd:360"
"普通生命药水",,"src/battle/item_catalog.gd:339"
"普通魔力药水",,"src/battle/item_catalog.gd:84"
"暂无技能说明",,"src/ui/battle_screen.gd:4651"
"暖玉",,"src/battle/item_catalog.gd:343"
"暗潮",,"assets/data/heroes/h13.tres:12"
"更换头像",,"src/ui/profile_screen.gd:430"
"替身-%s",,"src/ui/battle_screen.gd:2363"
"替身草人",,"src/battle/item_catalog.gd:465"
"最后一箭",,"src/battle/item_catalog.gd:205"
"未知目标",,"src/ui/battle_screen.gd:2034"
"末日火种",,"src/battle/item_catalog.gd:511"
"末日火种：残局攻击与防御强化已生效",,"src/ui/battle_screen.gd:4749"
"末日火种：等待我方仅剩1名英雄",,"src/ui/battle_screen.gd:4751"
"本回合内，双方只有首件道具生效。",,"src/battle/item_catalog.gd:602"
"本回合内，双方所有英雄技能无效。",,"src/battle/item_catalog.gd:610"
"本回合内，双方无法回复生命。",,"src/battle/item_catalog.gd:392"
"本回合内，双方每次攻击的总伤害最多为1点。",,"src/battle/item_catalog.gd:388"
"本回合内，反制敌方对我方使用的第一件道具。",,"src/battle/item_catalog.gd:319"
"本回合内，我方「大波」少消耗2点能量。",,"src/battle/item_catalog.gd:365"
"本回合内，我方「大波」的基础伤害翻倍；若该「大波」被「大防」挡下，我方下回合无法行动。",,"src/battle/item_catalog.gd:418"
"本回合内，我方「波」和「大波」的伤害增加2点，本回合结束我方出战英雄死亡。",,"src/battle/item_catalog.gd:290"
"本回合内，我方「波」若命中，下回合第一次「大波」不消耗能量。",,"src/battle/item_catalog.gd:426"
"本回合内，我方下一次「波」可以指定任意一名敌方英雄，但总伤害减少0.5点。",,"src/battle/item_catalog.gd:263"
"本回合内，我方下一次「波」的总伤害增加1点并穿防。",,"src/battle/item_catalog.gd:282"
"本回合内，我方下一次「波」被成功防御时，出战英雄获得1.5点护甲。",,"src/battle/item_catalog.gd:243"
"本回合内，我方下一次攻击命中时，我方所有存活英雄各回复1点生命。",,"src/battle/item_catalog.gd:409"
"本回合内，我方下一次攻击命中时，生命最低的存活英雄回复1点生命。",,"src/battle/item_catalog.gd:235"
"本回合内，我方下一次攻击命中时，获得1.5点能量。",,"src/battle/item_catalog.gd:413"
"本回合内，我方下一次攻击改为造成真实伤害。",,"src/battle/item_catalog.gd:286"
"本回合内，我方下一次攻击时，若出战英雄生命不超过1点，该攻击的总伤害增加3点并穿大防。",,"src/battle/item_catalog.gd:422"
"本回合内，我方下一次攻击的总伤害增加1.5点；若这次攻击没有击败目标，我方出战英雄失去1点生命。",,"src/battle/item_catalog.gd:206"
"本回合内，我方下一次攻击的总伤害增加1点；由命中触发的英雄技能额外触发1次。",,"src/battle/item_catalog.gd:274"
"本回合内，我方下一次攻击造成的伤害增加1点。",,"src/battle/item_catalog.gd:147"
"本回合内，我方下一次攻击造成的伤害增加2点，或使敌方下一次攻击造成的伤害增加2点。",,"src/battle/item_catalog.gd:151"
"本回合内，我方依次执行两个不同的行动（不含切换和英雄技能）。",,"src/battle/item_catalog.gd:524"
"本回合内，我方出战英雄受到的下一次伤害中，1点改由生命最高的另一名存活队友承受。",,"src/battle/item_catalog.gd:223"
"本回合内，我方出战英雄受到的下一次攻击伤害由我方所有存活英雄平均承受。",,"src/battle/item_catalog.gd:323"
"本回合内，我方出战英雄若死亡，下一名登场英雄获得2点护甲。",,"src/battle/item_catalog.gd:247"
"本回合内，我方出战英雄若死亡，对当时的敌方出战英雄造成2点伤害。",,"src/battle/item_catalog.gd:476"
"本回合内，我方切换后，敌方本回合攻击落空。",,"src/battle/item_catalog.gd:466"
"本回合内，我方切换后，登场英雄获得1点护甲。",,"src/battle/item_catalog.gd:227"
"本回合内，我方所有生命回复改为获得等量护甲。",,"src/battle/item_catalog.gd:348"
"本回合内，我方溢出的生命回复转为等量能量。",,"src/battle/item_catalog.gd:581"
"本回合内，我方用「大防」挡下「波」时，敌方失去1点能量。",,"src/battle/item_catalog.gd:239"
"本回合内，我方第一次获得非回合被动能量时，出战英雄获得1点护甲。",,"src/battle/item_catalog.gd:219"
"本回合内，我方若「切换」，下回合第一次攻击的总伤害增加1.5点。",,"src/battle/item_catalog.gd:214"
"本回合内，我方获得的溢出能量转为回复生命最低的存活英雄。",,"src/battle/item_catalog.gd:585"
"本回合内，我方行动若正好耗尽能量，行动结算后获得2点能量。",,"src/battle/item_catalog.gd:622"
"本回合内，敌方「波」无法对我方造成伤害，但其「大波」的总伤害增加2点。",,"src/battle/item_catalog.gd:606"
"本回合内，敌方切换后，换下的英雄受到1点伤害。",,"src/battle/item_catalog.gd:255"
"本回合内，敌方对我方施加的第一个非伤害道具效果无效。",,"src/battle/item_catalog.gd:210"
"本回合内，敌方由「波」或「大波」命中触发的英雄技能无效。",,"src/battle/item_catalog.gd:384"
"本回合内，敌方的「防」「大防」降低一级。",,"src/battle/item_catalog.gd:278"
"本回合内，敌方的首件道具和「切换」无效。",,"src/battle/item_catalog.gd:504"
"本回合内，若成功防御，我方所有存活英雄各回复1点生命。",,"src/battle/item_catalog.gd:344"
"本回合内，若成功防御，我方获得1点能量。",,"src/battle/item_catalog.gd:200"
"本回合内，若我方使用「攒」，我方额外获得1点能量。",,"src/battle/item_catalog.gd:181"
"本回合内，若我方使用「攒」，我方额外获得2点能量。",,"src/battle/item_catalog.gd:361"
"本回合内，若敌方使用「防」，我方「波」的伤害增加1点并穿防。",,"src/battle/item_catalog.gd:155"
"本回合内，若敌方攻击，我方出战英雄存活获得1.5点护甲。",,"src/battle/item_catalog.gd:164"
"本回合内，若敌方攻击，我方出战英雄获得1点护甲；否则我方获得1点能量。",,"src/battle/item_catalog.gd:176"
"本回合内，若敌方攻击，该攻击的总伤害减少1点。",,"src/battle/item_catalog.gd:191"
"本回合内，若敌方本回合使用「大波」且我方使用「防」，该「防」可以挡下这次「大波」。",,"src/battle/item_catalog.gd:172"
"本回合取得道具（3选1）",,"src/ui/battle_screen.gd:5743"
"本回合我方下一次攻击命中后，使敌方生命最低的未出战英雄登场。",,"src/battle/item_catalog.gd:306"
"本回合无敌。",,"src/battle/item_catalog.gd:470"
"本回合的下次攻击命中时，我方出战英雄回复等同于伤害的生命。",,"src/battle/item_catalog.gd:196"
"本回合结束时，双方烧掉所有仍可使用的道具；每烧掉1件，所属玩家获得1点能量。",,"src/battle/item_catalog.gd:544"
"本回合起的3回合内，我方出战英雄每回合回复1.5点生命。",,"src/battle/item_catalog.gd:456"
"本回合起的3回合内，我方每回合额外获得1.5点能量。",,"src/battle/item_catalog.gd:460"
"本回合，我方消耗的能量改为消耗蚩尤【牛】的血量。",,"assets/data/heroes/h14.tres:13"
"枭阳【猴】",,"assets/data/heroes/h21.tres:9"
"梦蝶",,"src/battle/item_catalog.gd:507"
"模式",,"src/ui/components/mode_card.gd:48"
"步虚无有乡",,"assets/data/heroes/h01.tres:11"
"死神说一粒能续一命，但没说续的只是一口气",,"src/battle/item_catalog.gd:653"
"残缺的佛像",,"src/battle/item_catalog.gd:171"
"每回合一次，星日【马】的切换不占用行动，且登场时对敌方造成0.5点伤害。",,"assets/data/heroes/h07.tres:12"
"毒爆",,"src/ui/battle_screen.gd:2351"
"毒药瓶",,"src/battle/item_catalog.gd:370"
"毕方【鸡】",,"assets/data/heroes/h22.tres:9"
"没打进",,"src/ui/components/battle_fx.gd:52"
"没搜到...",,"src/ui/codex_screen.gd:696"
"没有找到对应的结果...",,"src/ui/codex_screen.gd:697, src/ui/codex_screen.tscn:802"
"没有足够空间",,"src/ui/warehouse_screen.gd:183"
"波",,"src/ui/battle_screen.gd:8108"
"测试",,"src/ui/battle_screen.gd:6516"
